image,label
cat_1.png,pos
cat_2.png,neu
cat_3.png,neg
cat_4.png,neg
cat_5.png,neu
cat_7.png,neg
cat_8.png,neu
cat_9.png,neu
cat_10.png,pos
cat_11.png,neg
cat_12.png,neg
cat_13.png,neg
cat_14.png,neu
cat_15.png,pos
cat_16.png,neu
cat_18.png,pos
cat_19.png,neg
cat_20.png,neu
cat_22.png,neg
cat_23.png,pos
cat_24.png,neg
cat_25.png,neu
cat_26.png,pos
cat_27.png,neu
cat_28.png,neu
cat_29.png,pos
cat_30.png,pos
cat_31.png,neu
cat_32.png,neu
cat_33.png,pos
cat_34.png,neu
cat_35.png,pos
cat_36.png,pos
cat_37.png,neg
cat_38.png,neu
cat_40.png,neg
cat_41.png,pos
cat_42.png,neg
cat_43.png,neg
cat_44.png,neg
cat_45.png,neg
cat_46.png,neg
cat_47.png,neg
cat_48.png,neg
cat_49.png,pos
cat_51.png,pos
cat_52.png,neg
cat_53.png,pos
cat_54.png,pos
cat_55.png,neg
cat_56.png,neg
cat_57.png,neu
cat_58.png,neg
cat_59.png,neg
cat_60.png,neg
cat_62.png,neg
cat_63.png,pos
cat_64.png,neu
cat_65.png,pos
cat_66.png,pos
cat_67.png,neu
cat_68.png,neg
cat_69.png,pos
cat_70.png,neu
cat_71.png,pos
cat_73.png,neg
cat_74.png,neg
cat_75.png,neu
cat_76.png,pos
cat_77.png,pos
cat_78.png,pos
cat_79.png,neu
cat_80.png,neg
cat_81.png,pos
cat_82.png,pos
cat_83.png,neg
cat_84.png,neg
cat_85.png,neg
cat_86.png,neu
cat_87.png,neg
cat_88.png,pos
cat_89.png,neu
cat_90.png,neg
cat_91.png,neg
cat_92.png,pos
cat_93.png,neg
cat_95.png,neu
cat_96.png,neg
cat_97.png,neg
cat_98.png,neg
cat_99.png,neg
cat_100.png,neg
cat_101.png,neg
cat_102.png,neg
cat_103.png,neu
cat_104.png,neg
cat_106.png,pos
cat_107.png,neg
cat_108.png,neg
cat_110.png,pos
